Company Name,Logo,Product Description,Tags,List,Official site,Size,Location(s),Notable Investors,Stage,Notes,Jobs,Breakout List Analysis
AngelList,angellist-logo.png (https://dl.airtable.com/tjIrlLmZRrm1IRkpYCmO_angellist-logo.png),Invest in startups,Watch,"Breakout List 2016,Breakout List 2017",http://angel.co/,25-50,SF,"Atlas,GV",Early,exceptional team; strong growth; growing market; incl PH subset,https://angel.co/angellist/jobs?ref=breakoutlist,https://breakoutlist.com/angellist
Blend Labs,blend-labs-logo.png (https://dl.airtable.com/vCYk9NOtT0a3ebZdbY4C_blend-labs-logo.png),Mortgage enterprise software,Breakout,"Breakout List 2016,Breakout List 2017",https://blend.com,,SF,"A16Z,LSVP,FF",Mid-size,exceptional founders,,
Checkr,zmeqbhao0juvaoy3swqt.png (https://dl.airtable.com/cHbW6jGyTtmZpv7V6nwF_zmeqbhao0juvaoy3swqt.png),Background checking,Watch,"Breakout List 2016,Breakout List 2017",https://checkr.com/,10-50,SF,,,"strong revenue, high energy market",http://www.checkr.com/jobs?ref=breakoutlist,
Docker,docker-logo.png (https://dl.airtable.com/lBBTlLq9SLC2cJYOIChI_docker-logo.png),Application containers,Breakout,"Breakout List 2016,Breakout List 2017",http://www.docker.com,50-150,SF,"Benchmark,Greylock",Mid-size,"central to customers’ lives, high activity market",http://www.docker.com/company/careers/?ref=breakoutlist,https://breakoutlist.com/docker
Flexport,flexport-logo.png (https://dl.airtable.com/h6TStiVqSxRw44Db6TR4_flexport-logo.png),Freight forwarding,Breakout,Breakout List 2017,https://www.flexport.com,,SF,"FF,8VC",Mid-size,Strong growth; large market,,
Intercom,intercom-logo.png (https://dl.airtable.com/XCIQm3fiSi19bI8j8tFc_intercom-logo.png),Web app analytics,Breakout,"Breakout List 2016,Breakout List 2017",https://www.intercom.io,50-150,SF,,Mid-size,"high energy market, strong revenue growth",https://www.intercom.io/careers?ref=breakoutlist,https://breakoutlist.com/intercom
mark43,mark43-logo.png (https://dl.airtable.com/4wMRAJQHTFKenxGZYPEb_mark43-logo.png),SaaS for law enforcement,Breakout,Breakout List 2017,http://mark43.com/,50-150,NYC,"GC,Spark",Mid-size,Strong growth,,
Medium,medium-logo.png (https://dl.airtable.com/LN8sbcpUQpyCwSqNIwe1_medium-logo.png),Online content,Breakout,"Breakout List 2016,Breakout List 2017",https://medium.com,50-150,Palo Alto,"Greylock,A16Z",Mid-size,Strong growth; large market,http://www.medium.com/jobs?ref=breakoutlist,
MemSQL,memsql-logo.png (https://dl.airtable.com/UjiURgSwR3uz5PXNRZev_memsql-logo.png),In-memory databases,Breakout,Breakout List 2017,http://www.memsql.com,,SF,"Accel,KV",Mid-size,Strong growth,,
Okta,okta-logo.png (https://dl.airtable.com/kyGu1YwKSTCQkypLs6kg_okta-logo.png),Single sign-on for enterprises,"Breakout,Momentum",Breakout List 2017,https://www.okta.com,250-500,SF,"A16Z,Greylock",Mid-size,Strong growth,,
Opendoor,cqds3dxjkyw6y68f5u8w.jpg (https://dl.airtable.com/uLo7mM4OTMClmUA7NhnJ_cqds3dxjkyw6y68f5u8w.jpg),Buy/sell your home online,"Breakout,Network,Foundational","Breakout List 2017,Breakout List 2016,Foundational List 2017",https://www.opendoor.com/,25-50,SF,"KV,GGV",Mid-size,great team; strong growth; huge market,https://www.opendoor.com/jobs,https://breakoutlist.com/opendoor
Rubrik,rubrik-logo.png (https://dl.airtable.com/aBI5l5SOSWqyel3jXg9a_rubrik-logo.png),"Data backup, recovery, compliance etc for enterprise",Breakout,Breakout List 2017,https://www.rubrik.com,,Palo Alto,"LSVP,Greylock",Mid-size,Strong growth,,
Segment,segment-logo.png (https://dl.airtable.com/RWfuqC9fSBCqiR8zuVPy_segment-logo.png),Analytics,"Breakout (Extended),Breakout",Breakout List 2017,https://segment.com,10-50,SF,"Accel,Thrive",Mid-size,strong growth,https://segment.com/jobs/?ref=breakoutlist,https://breakoutlist.com/segment
Stitchfix,stitch-fix-logo.png (https://dl.airtable.com/63hnsJQ6Sei3YW0tpxUZ_stitch-fix-logo.png),Personal styling platform,"Momentum,Breakout",Breakout List 2017,https://www.stitchfix.com,250-500,NYC,"Baseline,LSVP,Benchmark",Mid-size,Strong growth; large market,https://www.stitchfix.com/careers?ref=breakoutlist,
Tanium,tanium-logo.png (https://dl.airtable.com/xNsuvXuQFizhgO18TbZZ_tanium-logo.png),Enterprise security,"Breakout,Momentum",Breakout List 2017,https://www.tanium.com,50-150,Berkeley,A16Z,Mid-size,Strong growth,http://www.tanium.com/about-us/careers/?ref=breakoutlist,https://breakoutlist.com/tanium
Y Combinator,ycombinator-logo.png (https://dl.airtable.com/GWh47eKqTqmzv0hiQV4n_ycombinator-logo.png),Startup funding and advice,Breakout,"Breakout List 2017,Foundational List 2017",http://www.ycombinator.com,,SF,Sequoia,Early, network effect; strong growth; great team,https://blog.ycombinator.com/y-combinator-is-hiring-hackers,
Zenreach,zenreach-logo.png (https://dl.airtable.com/g0XwMotARNi1PclWM2UF_zenreach-logo.png),Brick and mortar analytics,Breakout,Breakout List 2017,https://www.zenreach.com,,SF,"F8,FF",Mid-size,Strong growth,,
Zymergen,zymergen-logo.png (https://dl.airtable.com/KOwvg7TaRUyodzDikV7U_zymergen-logo.png),Engineering microbes,Breakout,Breakout List 2017,https://www.zymergen.com,,"Emeryville, CA","DCVC,Softbank",Mid-size,Large market,,
