textname,urlname,textcompany,textdescription,textdomain
Dag Asheim,http://www.digi.no/bedriftsteknologi/2001/03/20/entusiaster-blir-rike-pa-linux,Linpro,CTO,Linux programmer & scalable systems
Olav Sylthe,https://no.linkedin.com/in/olavsylthe,Myvr 3d software,CTO ,"3d Programmer, UX design"
Grethe Helene Vikaas,,Basefarm,Entrepreneur and industry leader,Operations consulting
Nickolai Ugland,https://no.linkedin.com/pub/nickolai-m-ugland/65/1a3/684,,Venturecapital,Shipping
Kim Daniel Arthur,http://www.dn.no/tekno/2009/11/11/nerd-blir-sokkrik-pa-ting-som-ikke-finnes,Playfish,,phonegames
Atle Dyrli,https://no.linkedin.com/in/atledyrli,drivinkubator,CEO ,Health Incubator
Susanne Hannestad,https://no.linkedin.com/in/susannehannestad,Zwipe,CEO ,Fingerprint payment card
Gisle østereng,https://no.linkedin.com/pub/gisle-%C3%B8stereng/0/352/b75,ThermaSIC,,Silisium production
Mari Helmer,https://no.linkedin.com/in/marihelmer,,Property & stock investment,Business & Marketing & grafical designer
Jan Børre Wennberg,https://no.linkedin.com/pub/jan-b%C3%B8rre-wennberg/0/246/940,,CFO ,Recruiting
Per Baumann,https://no.linkedin.com/in/perbaumann,Questback,CEO,"Customer feedback, sales"
Ivar Krogrud,,Questback,CFO ,Customer feedback
Ståle Løvbukten,https://no.linkedin.com/pub/st%C3%A5le-l%C3%B8vbukten/0/31b/872,Admincontrol,Serial entrepeneur,Board documents
Haavard Nord,https://no.linkedin.com/pub/haavard-nord/0/28/a00,Admincontrol,Serial entrepeneur,board documents
Benjamin sommer,https://no.linkedin.com/in/benjaminsommer,Consulting,Business angel & lean consulting,"Investments, lean"
Bjørn Christensen,http://www.ntnu.edu/employees/bjorn.e.christensen,,Venture capital veteran,"Investments, Teaching"
Terje Landsgård,https://no.linkedin.com/pub/terje-landsg%C3%A5rd/0/314/6ba,Kjeller Innovation,CEO,finans/forskning
Martin Hæreid,https://no.linkedin.com/in/martinhareid,Boston consulting group,Analyst & project manager,Business consulting
Thomas Berglund,,Ocular,CEO & Serial entrepreneur,
Anne Worsoe,http://www.forskningsradet.no/no/Nyheter/Hun_blor_for_innovasjon/1253984382950?lang=no,Innovasjon norge,Director sanfransisco office,Internationalisation
Sean Perchival,,500 startups,Investor based in silicon valley,International investor
Stina Liland Nysaether,,500 startups,Norwegian division,Accelerator program
Geir Tvedt,,NTNU,Coordinator,"Culture, teaching"
John Secrest,http://www.seattleangelconference.com/p/team.html,,Seattle angel conference,"Investments, Lean"
