textname,urlname,textdescription,textneed
Patentstyret,http://patentstyret.no,Trademarks to take and give a little of everything touching someone,"webchat,reference checks"
Google,http://google.com,Idea of how to organize the web better,GCP with Palalto security and freedom of speach
PalaltoNetworks,http://palaltonetworks.com,Web loadbalancer with security of 0day exploits for enterprises,included loadbalancer without bigip and raspberryos
Visma,http://visma.com,Programs for enterprises consolidated,tagfame.com missing debreafing due diligence
StartupNorway,http://startupnorway.com,Gives investors deals and startups money online community and local events,"wehchat, go global, investor cut"
OsloMet,http://oslomet.no,Educates online on youtube and fits degrees with the world leading trademark in theyre name,Oposite education full strategy
Amazon,http://amazon.co.uk,"amazon fullfillment webstore sending popular upfront, imdb, aws servers, cloud9 ",wehchat
University of Oslo,http://ifi.uio.no,Informatics to create a full body,Online intel
VestreViken,http://vestreviken.no,Healthservices to push people down untill they can prove it every time ,Moderator of moderators with points
Viken,http://viken.no,Education services on upper secondary,webchat
Motorola,http://motorola.com,Phones and ear sight mounted augemented reality,PalaltoNetworks security
Microsoft,http://microsoft.com,"Operating system with leak network to avoid getting exploited, pays artists becouse of filesharing",webchat for enterprise licence reviews
Active24,http://active24.com,Webhosting with superb customer service and palalto security,auto migrate old websites with simula compiler 
Facebook,http://facebook.com,Timeline to blog about your life,red marks when someone edits a text for security
Finn Schibsted,http://finn.no,Marketplace of gods and services and property/cars,Free dating
Coop,http://coop.no,Store with an avl logistics system to avoid sending too much,Spread the logistics to other stores too
Regjeringen,http://regjeringen.no,The Norwegian goverment,Follow recepie on twitter.com/sanderm
Raima,http://raima.com,Silicon chip database,Redundant database full two way replication
Techstars startupWeekend,http://startupweekend.org,Around the globe local startup incubator,Cut wars and trade resources instead locally
