textkategori,numapr,nummai,numjun,numjul,numaug,numsep,numokt,numnov,numdes,numjan,numfeb,numfeb,numsiste12,numfast,numvariabel,numvariabelmaa,kutt
Inntekt,"23,151.40","23,164.15","30,306.56","23,153.85","23,137.95","58,468.87","95,548.18","122,659.59","78,330.81","106,901.36","106,886.03","22,755.00","714,463.75",0,,,
Renteinntekter,396.40,409.15,398.56,398.85,382.95,345.87,356.18,343.59,304.81,306.36,291.03,,"3,933.75",0,,,
Trygd og bidrag,0.00,0.00,0.00,0.00,0.00,"5,592.00","15,129.00",0.00,"34,550.00","28,569.00",0.00,0.00,"83,840.00",0,,,
Utbetalt lønn,"22,755.00","22,755.00","38,618.43","22,755.00","22,755.00",0.00,"9,168.65",0.00,0.00,"52,799.23","23,486.00",0.00,"215,092.31",0,,,
trygd utbetalt,,,,,,"14,888.00","18,414.00","22,769.00",,,,,,,,,
trygd sum,,,,,,"14,888.00","33,302.00","56,071.00",,,,,,,,,
utbetlt konto sum,,,,,,"5,592.00","20,721.00","20,721.00","55,271.00","83,840.00","83,840.00",,,,,,
mangler,0.00,0.00,"-15,863.43",0.00,0.00,"17,163.00","-1,542.65","22,755.00","-11,795.00","-58,613.23",-731.00,"22,755.00","-25,872.31",0,,,
Skatt til gode,,,"7,153.00",,,,,,,,,,"7,153.00",0,7153,,
Total inntekt,"23,151.40","23,164.15","30,306.56","23,153.85","23,137.95","58,468.87","95,548.18","122,659.59","78,330.81","106,901.36","106,886.03","22,755.00","714,463.75",0,,,
Barn,0.00,0.00,0.00,0.00,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168.00,0,168,,
Leker og lommepenger til barna,,,,,168.00,,,,,,,,168.00,0,,,
Bil og transport,"1,244.83",700.33,"1,825.48","2,147.85","2,317.32","12,894.12","1,257.63",0.00,"1,057.19","1,694.52","2,041.73",70.00,"27,251.00",0,,,
Bompenger,,,,730.00,512.00,,717.00,,,336.00,672.00,,"2,967.00",0,,"2,967.00",
Drivstoff,"1,092.83",700.33,"1,825.48","1,327.85","1,095.32",774.12,540.63,,"1,057.19","1,138.52","1,179.73",,"10,732.00",0,,"10,732.00",
Parkering,152.00,,,90.00,710.00,20.00,,,,220.00,190.00,70.00,"1,452.00",0,,"1,452.00",
Offentlig transport,,,,,,"12,100.00",,,,,,,"12,100.00","12,100.00",,,
Forbrukslån og kostnader,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,0.00,0.00,0.00,250.00,0,,,
Bankkostnader,,,,,,,250.00,,,,,,250.00,250.00,,,
Fritid,"3,065.00",99.00,"1,230.00","10,186.80",99.00,194.00,99.00,"2,044.00",190.00,"1,299.00",99.00,99.00,"18,703.80",0,"18,703.80",,
"Abonnementer, aviser og blader",99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,"1,188.00",0,,,
Interesser,,,"1,000.00",,,,,"1,938.00",67.00,"1,200.00",,,"4,205.00",0,,,
Kunst og håndverk,,,,,,,,,24.00,,,,24.00,0,,,
Musikk og instrumenter,"2,966.00",,131.00,,,95.00,,7.00,,,,,"3,199.00",0,,,"3,199.00"
Sykling,,,,"10,087.80",,,,,,,,,"10,087.80",0,,,"10,087.80"
Gaver og feiringer,"2,990.00",0.00,0.00,0.00,"-5,000.00",0.00,0.00,0.00,"-2,990.00",0.00,0.00,0.00,"-5,000.00",0,"-5,000.00",,
Gaver,"2,990.00",,,,"-5,000.00",,,,"-2,990.00",,,,"-5,000.00",0,,,
Handel og tjenester,"5,877.49","5,059.56","2,810.97",836.00,"2,993.23","2,832.87",557.00,379.00,"2,679.46","1,762.90",998.94,0.00,"26,787.42",0,"26,787.42",,
