textname,urlname,textpitch,textsummary,textindustry,textstage,Location,Funding Stage,Capital Seeking,Currency,Security Type,Pre-Money Valuation,Valuation Cap,Conversion Discount,Interest Rate,Term Length (months),Previous Capital,Deal Labels,Deal Leads,Observing Investors,Considering Investors,Committed Investors,Invested Investors,Not Interested Investors,Aggregate Rating,Created On,Additional Questions
FlexCharging,http://gust.com/deals/1108344,"We manage electric vehicle charging, so drivers charge with clean power more cheaply, and electric utilities avoid building new power plants.","FlexCharging shifts when electric vehicles charge to the best time of day to lower prices and reduce carbon emissions. No hardware required. With enough cars, utilities avoid locking in billions on new power plants. Utilities pay drivers to sign up, pay us, and keep rates low. Drivers save money on time-of-use rates & carbon. 4 completed pilots, 2 in progress.
Brian - Worked on Azure Data Lake, shut down a coal plant
Laura - energy trading expert",Clean Technology,Product In Market,"Redmond, WA, US",series_seed,1500000,$,Convertible Note,,8000000,15,5,48,828000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,11,0,0,0,1,3.007575758,02/26/2020,Question: Referred By - Answer:
TypeMatch,http://gust.com/deals/1132141,"The antidote for shallow dating apps. We use personality psychology to help users find long-term, meaningful relationships.",TypeMatch is a relationship app that uses personality psychology to match users and guide them through dating. The app has >18k real downloads and 12k active users in less than a year after the launch of the initial MVP. It is monetized through a  freemium subscription model. We have grown rapidly by leveraging the CEO's influence and understanding of the target market and the CTO's and CMO's years of experience in their respective fields.,Mobile,Product In Market,"Greenville, SC, USA",series_seed,1000000,$,Preferred Equity,5111000,N/A,N/A,N/A,N/A,,2021 SAC 19,,5,0,0,0,0,3.196969697,07/30/2020,Question: Referred By - Answer: Kate Fuller Ghaffari
Rubitection,http://gust.com/deals/1135175,"Our skin health and care management tool provides reliable early assessment, and care management of dermatological and vascular conditions like bedsores.",We empower caregivers to prevent deadly wounds with a low cost skin health assessment and care management tool. Our initial target is deadly bedsores. We addresses this $11 billion healthcare problem by providing a low cost reliable early detection system. A low risk FDA pathway allows a quick path to a $4.2 billion US market. Two recurring revenues from a razor-blade and  SaaS model supports growth to $100M within 6 years of product launch.,Medical Devices and Equipment,Prototype Ready,"Pittsburgh, PA, USA",series_seed,2000000,$,Convertible Note,,7500000,20,7,24,1000000,"2021 SAC 19 Semi-Finalists, 2021 SAC 19 Quarter Final, 2021 SAC 19 ",,14,1,0,0,0,4.055555556,08/16/2020,Question: Referred By - Answer:
Twofold Inc.,http://gust.com/deals/1135665,"We build workspace furniture that works for you. Our flexible home & office solutions respond to changing needs, preserving the ROI and avoiding obsolescence.","The nature of work is changing, yet furniture has not. The pandemic has accelerated this shifting trend. We create the multi-functional, flexible solutions (home & office) that have been missing. Our modular designs respond to changing needs, preserve the financial investment, avoid obsolescence and allow the office owners to respond quickly. We have launched 5 products, have reps in 11 states and US based, on-demand manufacturing that can scale.",Business Products,Full Product Ready,"Portland, OR, USA",series_seed,650000,$,Preferred Equity,5000000,N/A,N/A,N/A,N/A,2000000,"2021 SAC 19 Quarter Final, 2021 SAC 19 ",,3,0,0,0,0,3.531746032,08/19/2020,Question: Referred By - Answer: John Sechrest and Kate Fuller Ghaffari
PerformLive,http://gust.com/deals/1136630,"PerformLive, a purpose-driven community for Creators to monetize their talent and products via interactive live stream & live commerce. ","Seizing on the white-hot opportunity of live streaming commerce we re-imagined our ROAR Augmented Reality IP into a community centric AR rich live commerce platform for creators and sellers, Performlive. 
PerformLive, a purpose-driven community for Creators and Sellers to monetize their talent and products via interactive live stream. It combines the power of live interaction, social selling, live commerce & augmented reality, all in one platform",Internet / Web Services,Prototype Ready,"East Hanover, NJ, USA",series_seed,2000000,$,Preferred Equity,8000000,N/A,N/A,N/A,N/A,2943000,2021 SAC 19,,8,0,0,0,1,3.510416667,08/27/2020,"Question: Referred By - Answer: SaaS Launch Lab, Kate Fuller Ghaffari "
"LendMe, Inc.",http://gust.com/deals/1140777,A peer to peer support platform for college students. Let's Get to Work!,"Hello! We are LendMe! We're a new & efficient peer-to-peer support platform for students to connect with their colleagues for their day-to-day needs. Your college marketplace, all on one application!

Our mobile application, LendMe-Student, focuses on peer-to-peer tutoring. We are also in development to further P2P engagement in additional markets.

Please enjoy the animated video below to catch a glimpse of what we have to offer!

Thank you! ",Education,Full Product Ready,"Seattle, WA, US",series_seed,250000,$,Preferred Equity,1100000,N/A,N/A,N/A,N/A,40000,2021 SAC 19,,0,0,0,0,0,3.555555556,09/22/2020,Question: Referred By - Answer: Washington Technologies & Industry Association. I am a Founders Cohort 4 member.
Relish Health Services,http://gust.com/deals/1141163,"Relish is a fully integrated, tele-health weight loss service that tackles the root causes of obesity so people can lose weight and, finally, keep it off.","Relish offers D2C tele-health weight loss services by subscription.  We are tackling obesity by going after its root causes through a combination of medical intervention (prescription meds), nutrition, fitness and behavioural change (facilitator-led group), woven together with always-on AI chat support.  Relish has assembled a team of some of the world's most experienced front line professionals in obesity management to execute on our vision.",Healthcare Services,Full Product Ready,"Vancouver, BC, Canada",series_seed,500000,$,Common Equity,2000000,N/A,N/A,N/A,N/A,343000,,,0,0,0,0,0,5,09/24/2020,"Question: Referred By - Answer: Mysty Rusk, The Brink SBDC"
K&K Electronic Recycling Co.,http://gust.com/deals/1147735,Making a complicated field SIMPLE for business and consumers.,"Our strategy is to keep it SIMPLE. Electronic recycling for business and consumers is confusing. Most firms charge. Not us!  In fact we aren't selling anything!

 E-CYCLE WA. Our state program. This partnership  stabilizes our supply. Supply is our only variable. 

We know how much precious metal there is per ton of circuitboards. We know the price of gold on any given day. We know our costs. Our market research tells us there is room for us.
",Business Services,Full Product Ready,"Seattle, WA, USA",series_seed,120000,$,Preferred Equity,,N/A,N/A,N/A,N/A,,,,1,0,0,0,0,,11/06/2020,Question: Referred By - Answer:
CareerGig,http://gust.com/deals/1151657,We connect freelancers and the companies that hire them with better quality matches and benefits.,"CareerGig is a freelancer marketplace that connects companies with top tier talent. Connecting freelancers with benefits is key to helping them maintain their independence and consistently remain freelancers. Career Benefits. Gig Lifestyle. Choose Both.  Companies are able to accelerate hiring 1099s with the Verified On-Demand Workforce™. All-in-one recruiting, verification, skills assessment, and placement services. 
",Financial Services,Product In Market,"Arlington, VA, USA",series_seed,2250000,$,N/A,,N/A,N/A,N/A,N/A,152000,,,0,0,0,0,0,2.666666667,11/25/2020,Question: Referred By - Answer: Kate Ghaffari
eTagz.net,http://gust.com/deals/1154136,eTagz Speaks For You When You Cannot,"We are raising our Series Seed Round starting on Nov 16th, 2020

Link to our Investor Pitch Video:  https://youtu.be/prAiVtSTTHc

•	eTagz is a QR Medical ID that comes in the form of QR Medical ID linked to the user's profile on eTagz.net.  In an emergency, the eTagz can be read by a phone camera, and Instantly users MEDWALL (newsfeed) & medical profile & emergency contacts will be available to first responders.

",Medical Devices and Equipment,$500K in TTM Revenue,"Palm Springs, CA, USA",series_seed,1000000,$,Preferred Equity,3500000,N/A,N/A,N/A,N/A,150000,,,1,0,0,0,0,4,12/09/2020,Question: Referred By - Answer:
