textname,urlname,urllinkedin,textlinkedin,textType,textDescription
https://www.techstars.com/programs/alexa-program/,https://www.techstars.com/programs/alexa-program/,,,Accelerator,
http://www.apel.org,http://www.apel.org,/,/,Accelerator,
http://www.atlasaccelerator.com/,http://www.atlasaccelerator.com/,https://www.linkedin.com/company/atlas-accelerator/,https://www.linkedin.com/company/atlas-accelerator/,Accelerator,
https://boomstartup.com/,https://boomstartup.com/,https://www.linkedin.com/company/boomstartup/,https://www.linkedin.com/company/boomstartup/,Accelerator,
https://fi.co/,https://fi.co/,https://www.linkedin.com/company/the-founder-institute/,https://www.linkedin.com/company/the-founder-institute/,Accelerator,
http://www.fledge.co,http://www.fledge.co,https://www.linkedin.com/company/fledge-accelerator/,https://www.linkedin.com/company/fledge-accelerator/,Accelerator,
https://startups.microsoft.com/en-us/scale-up/,https://startups.microsoft.com/en-us/scale-up/,https://www.linkedin.com/company/microsoft-scaleup-tel-aviv/about/,https://www.linkedin.com/company/microsoft-scaleup-tel-aviv/about/,Accelerator,
http://www.agbizcenter.org/,http://www.agbizcenter.org/,https://www.linkedin.com/company/puget-sound-food-network/,https://www.linkedin.com/company/puget-sound-food-network/,Accelerator,
http://www.nwirc.com,http://www.nwirc.com,https://www.linkedin.com/company/nw-innovation-resource-center/,https://www.linkedin.com/company/nw-innovation-resource-center/,Accelerator,
https://www.oregonrain.org/,https://www.oregonrain.org/,https://www.linkedin.com/company/oregonrain/,https://www.linkedin.com/company/oregonrain/,Accelerator,
http://www.otbc.org,http://www.otbc.org,https://www.linkedin.com/company/oregon-technology-business-center/,https://www.linkedin.com/company/oregon-technology-business-center/,Accelerator,
http://piepdx.com/,http://piepdx.com/,https://www.linkedin.com/company/pie-portland-incubator-experiment-/,https://www.linkedin.com/company/pie-portland-incubator-experiment-/,Accelerator,
"https://www.pdx.edu/accelerator/
","https://www.pdx.edu/accelerator/
",https://www.linkedin.com/school/portland-state-university/,https://www.linkedin.com/school/portland-state-university/,Accelerator,
http://www.starveups.com,http://www.starveups.com,https://www.linkedin.com/company/starve-ups/,https://www.linkedin.com/company/starve-ups/,Accelerator,
https://www.techstars.com/programs/seattle-program/,https://www.techstars.com/programs/seattle-program/,https://www.linkedin.com/company/techstars/,https://www.linkedin.com/company/techstars/,Accelerator,
http://www.founderspad.com,http://www.founderspad.com,https://www.linkedin.com/company/founderspad/,https://www.linkedin.com/company/founderspad/,Accelerator,
http://www.bendvc.com,http://www.bendvc.com,https://www.linkedin.com/company/edcoinfo/,https://www.linkedin.com/company/edcoinfo/,Angel Investment,"The Bend Venture Conference is an annual investment forum for early stage startups in Bend, Oregon. "
https://www.oen.org/angel-food-conference-2019/,https://www.oen.org/angel-food-conference-2019/,https://www.linkedin.com/company/oregon-entrepreneurs-network/,https://www.linkedin.com/company/oregon-entrepreneurs-network/,Angel Investment,
http://www.seattleangelconference.com,http://www.seattleangelconference.com,https://www.linkedin.com/company/seattle-angel-conference/about/,https://www.linkedin.com/company/seattle-angel-conference/about/,Angel Investment,
http://www.9MileLabs.com,http://www.9MileLabs.com,https://www.linkedin.com/company/9mile-labs/,https://www.linkedin.com/company/9mile-labs/,Angel Investment,
http://www.founderscoop.com,http://www.founderscoop.com,https://www.linkedin.com/company/founders-co-op/,https://www.linkedin.com/company/founders-co-op/,Angel Investment,
http://grubstakes.vc/,http://grubstakes.vc/,https://www.linkedin.com/company/grubstakes/,https://www.linkedin.com/company/grubstakes/,Angel Investment,
http://oregonventurefund.com/,http://oregonventurefund.com/,https://www.linkedin.com/company/oregon-angel-fund/,https://www.linkedin.com/company/oregon-angel-fund/,Angel Investment,
http://www.portlandseedfund.com/,http://www.portlandseedfund.com/,https://www.linkedin.com/company/portland-seed-fund/about/,https://www.linkedin.com/company/portland-seed-fund/about/,Angel Investment,
https://seachange.fund/,https://seachange.fund/,https://www.linkedin.com/company/seachangefund/about/,https://www.linkedin.com/company/seachangefund/about/,Angel Investment,
https://www.spokaneangelalliance.com/,https://www.spokaneangelalliance.com/,,,Angel Investment,
http://www.allianceofangels.com,http://www.allianceofangels.com,https://www.linkedin.com/company/alliance-of-angels/,https://www.linkedin.com/company/alliance-of-angels/,Angel Investment,
https://www.cascadeangels.com/,https://www.cascadeangels.com/,,,Angel Investment,
http://www.bellinghamangelinvestors.com/,http://www.bellinghamangelinvestors.com/,,,Angel Investment,
http://www.element8angels.com/,http://www.element8angels.com/,https://www.linkedin.com/company/element-8-angels/,https://www.linkedin.com/company/element-8-angels/,Angel Investment,
https://www.keiretsucapital.com/ ; https://www.k4northwest.com/cpages/homepage,https://www.keiretsucapital.com/ ; https://www.k4northwest.com/cpages/homepage,https://www.linkedin.com/company/keiretsu-capital/,https://www.linkedin.com/company/keiretsu-capital/,Angel Investment,
http://www.pugetsoundvc.com/,http://www.pugetsoundvc.com/,/,/,Angel Investment,
"https://www.seraphgroup.net/
","https://www.seraphgroup.net/
",https://www.linkedin.com/company/seraph-group/,https://www.linkedin.com/company/seraph-group/,Angel Investment,
http://www.zinosociety.com/,http://www.zinosociety.com/,https://www.linkedin.com/company/zino-society/,https://www.linkedin.com/company/zino-society/,Angel Investment,
https://www.boiseangels.com/,https://www.boiseangels.com/,https://www.linkedin.com/company/boise-angel-alliance/,https://www.linkedin.com/company/boise-angel-alliance/,Angel Investment,
http://www.looncreekcapital.com,http://www.looncreekcapital.com,https://www.linkedin.com/company/loon-creek-capital-group/?originalSubdomain=de,https://www.linkedin.com/company/loon-creek-capital-group/?originalSubdomain=de,Angel Investment,
http://ballardlabs.com/,http://ballardlabs.com/,https://www.linkedin.com/company/ballard-labs/,https://www.linkedin.com/company/ballard-labs/,Coworking,
http://www.blackdotseattle.com/,http://www.blackdotseattle.com/,,,Coworking,
https://www.cambiagrove.com/,https://www.cambiagrove.com/,https://www.linkedin.com/company/the-cambia-grove/,https://www.linkedin.com/company/the-cambia-grove/,Coworking,
https://comotion.uw.edu/,https://comotion.uw.edu/,https://www.linkedin.com/company/uwcomotion/,https://www.linkedin.com/company/uwcomotion/,Coworking,
http://www.coworkbox.com/contact.html,http://www.coworkbox.com/contact.html,/,/,Coworking,
,,,,Coworking,
https://fusespc.com/,https://fusespc.com/,https://www.linkedin.com/company/fuse-spc/,https://www.linkedin.com/company/fuse-spc/,Coworking,
https://www.galvanize.com/campuses/seattle,https://www.galvanize.com/campuses/seattle,https://www.linkedin.com/school/galvanize-it/?originalSubdomain=ph,https://www.linkedin.com/school/galvanize-it/?originalSubdomain=ph,Coworking,
https://hhcoworks.org/,https://hhcoworks.org/,https://www.linkedin.com/company/hing-hay-coworks/,https://www.linkedin.com/company/hing-hay-coworks/,Coworking,
https://impacthubseattle.com/,https://impacthubseattle.com/,https://www.linkedin.com/company/impact-hub-seattle/,https://www.linkedin.com/company/impact-hub-seattle/,Coworking,
http://indieballard.com/,http://indieballard.com/,https://www.linkedin.com/company/indie-ballard-llc/,https://www.linkedin.com/company/indie-ballard-llc/,Coworking,
https://www.orangestudios.com/,https://www.orangestudios.com/,https://www.linkedin.com/company/orange-studios-us/,https://www.linkedin.com/company/orange-studios-us/,Coworking,
https://startupspokane.com/coworking/,https://startupspokane.com/coworking/,https://www.linkedin.com/company/startupspokane/,https://www.linkedin.com/company/startupspokane/,Coworking,
https://www.thepioneercollective.com/,https://www.thepioneercollective.com/,https://www.linkedin.com/company/the-pioneer-collective/,https://www.linkedin.com/company/the-pioneer-collective/,Coworking,
http://www.thinkspace.com,http://www.thinkspace.com,https://www.linkedin.com/company/thinkspace/?originalSubdomain=ph,https://www.linkedin.com/company/thinkspace/?originalSubdomain=ph,Coworking,
https://www.vestlink.io/cowork,https://www.vestlink.io/cowork,,,Coworking,
https://www.wework.com/de-DE/labs,https://www.wework.com/de-DE/labs,,,Coworking,
