textpage, textdate, textip, textbrowserversion
//rockefellerthrust.com/jquery-csv.js,[06/Feb/2025:06:22:35,34.228.44.196,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[06/Feb/2025:08:32:26,34.228.44.196,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[06/Feb/2025:13:36:33,34.228.44.196,"SAMSUNG-S8000/S8000XXIF3
//rockefellerthrust.com/jquery-csv.js,[06/Feb/2025:15:22:56,54.244.71.16,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[06/Feb/2025:15:27:03,34.228.44.196,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[06/Feb/2025:17:31:31,54.244.71.16,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[07/Feb/2025:07:51:52,54.244.71.16,"Mozilla/4.0
//rockefellerthrust.com/jquery-csv.js,[07/Feb/2025:18:51:41,18.234.216.213,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[07/Feb/2025:21:29:42,18.234.216.213,"Mozilla/4.0
//rockefellerthrust.com/jquery-csv.js,[07/Feb/2025:21:52:41,35.167.230.82,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[08/Feb/2025:17:20:11,45.148.10.238,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[08/Feb/2025:17:20:19,45.148.10.238,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[08/Feb/2025:18:37:18,35.167.230.82,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[08/Feb/2025:22:06:35,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[09/Feb/2025:05:45:47,35.167.230.82,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[09/Feb/2025:06:26:25,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[09/Feb/2025:20:01:45,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[10/Feb/2025:11:08:17,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[10/Feb/2025:14:17:04,3.94.87.28,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[10/Feb/2025:17:49:51,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[10/Feb/2025:23:02:46,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[11/Feb/2025:01:00:42,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[11/Feb/2025:06:56:11,54.196.247.85,"Mozilla/5.0
//rockefellerthrust.com/jquery-csv.js,[11/Feb/2025:09:14:24,54.196.247.85,"Mozilla/5.0
